Year,ERA5,JRA-55,BerkeleyEarth,GISTEMP,HadCRUT5,NOAAGlobalTemp,t
1850,-999.000,-999.000,-0.116,-999.000,-0.085,-999.000,
1851,-999.000,-999.000,-0.021,-999.000,0.106,-999.000,
1852,-999.000,-999.000,0.016,-999.000,0.103,-999.000,
1853,-999.000,-999.000,-0.001,-999.000,0.070,-999.000,
1854,-999.000,-999.000,-0.008,-999.000,0.051,-999.000,
1855,-999.000,-999.000,0.006,-999.000,0.046,-999.000,
1856,-999.000,-999.000,-0.117,-999.000,0.017,-999.000,
1857,-999.000,-999.000,-0.247,-999.000,-0.133,-999.000,
1858,-999.000,-999.000,-0.065,-999.000,-0.055,-999.000,
1859,-999.000,-999.000,0.043,-999.000,0.055,-999.000,
1860,-999.000,-999.000,-0.101,-999.000,-0.052,-999.000,
1861,-999.000,-999.000,-0.170,-999.000,-0.089,-999.000,
1862,-999.000,-999.000,-0.258,-999.000,-0.204,-999.000,
1863,-999.000,-999.000,-0.077,-999.000,-0.010,-999.000,
1864,-999.000,-999.000,-0.082,-999.000,-0.134,-999.000,
1865,-999.000,-999.000,0.013,-999.000,0.002,-999.000,
1866,-999.000,-999.000,0.072,-999.000,-0.015,-999.000,
1867,-999.000,-999.000,0.104,-999.000,-0.029,-999.000,
1868,-999.000,-999.000,0.077,-999.000,-0.012,-999.000,
1869,-999.000,-999.000,0.057,-999.000,0.022,-999.000,
1870,-999.000,-999.000,-0.004,-999.000,0.009,-999.000,
1871,-999.000,-999.000,-0.052,-999.000,-0.028,-999.000,
1872,-999.000,-999.000,-0.015,-999.000,0.007,-999.000,
1873,-999.000,-999.000,0.006,-999.000,-0.007,-999.000,
1874,-999.000,-999.000,-0.059,-999.000,-0.037,-999.000,
1875,-999.000,-999.000,-0.066,-999.000,-0.048,-999.000,
1876,-999.000,-999.000,-0.087,-999.000,-0.087,-999.000,
1877,-999.000,-999.000,0.298,-999.000,0.233,-999.000,
1878,-999.000,-999.000,0.356,-999.000,0.331,-999.000,
1879,-999.000,-999.000,0.038,-999.000,0.030,-999.000,
1880,-999.000,-999.000,-0.037,0.097,0.019,0.148,
1881,-999.000,-999.000,0.072,0.185,0.100,0.185,
1882,-999.000,-999.000,0.021,0.160,0.034,0.171,
1883,-999.000,-999.000,-0.030,0.098,-0.014,0.090,
1884,-999.000,-999.000,-0.199,-0.013,-0.164,0.002,
1885,-999.000,-999.000,-0.165,-0.061,-0.137,0.019,
1886,-999.000,-999.000,-0.195,-0.039,-0.087,0.028,
1887,-999.000,-999.000,-0.231,-0.088,-0.163,-0.015,
1888,-999.000,-999.000,-0.027,0.101,-0.043,0.141,
1889,-999.000,-999.000,0.092,0.165,0.085,0.185,
1890,-999.000,-999.000,-0.196,-0.077,-0.172,-0.069,
1891,-999.000,-999.000,-0.075,0.052,-0.063,0.020,
1892,-999.000,-999.000,-0.143,-0.002,-0.179,-0.029,
1893,-999.000,-999.000,-0.121,-0.038,-0.160,-0.052,
1894,-999.000,-999.000,-0.115,-0.025,-0.146,-0.040,
1895,-999.000,-999.000,-0.042,0.049,-0.113,0.030,
1896,-999.000,-999.000,0.049,0.163,0.053,0.177,
1897,-999.000,-999.000,0.062,0.167,0.077,0.174,
1898,-999.000,-999.000,-0.149,0.001,-0.147,-0.001,
1899,-999.000,-999.000,0.021,0.100,-0.018,0.116,
1900,-999.000,-999.000,0.128,0.195,0.104,0.197,
1901,-999.000,-999.000,0.049,0.120,0.047,0.115,
1902,-999.000,-999.000,-0.109,-0.000,-0.108,0.008,
1903,-999.000,-999.000,-0.211,-0.093,-0.199,-0.106,
1904,-999.000,-999.000,-0.263,-0.191,-0.261,-0.181,
1905,-999.000,-999.000,-0.082,0.017,-0.071,-0.004,
1906,-999.000,-999.000,-0.003,0.053,0.021,0.062,
1907,-999.000,-999.000,-0.161,-0.110,-0.170,-0.109,
1908,-999.000,-999.000,-0.195,-0.151,-0.177,-0.160,
1909,-999.000,-999.000,-0.262,-0.210,-0.198,-0.173,
1910,-999.000,-999.000,-0.222,-0.156,-0.193,-0.134,
1911,-999.000,-999.000,-0.228,-0.165,-0.196,-0.174,
1912,-999.000,-999.000,-0.155,-0.087,-0.146,-0.073,
1913,-999.000,-999.000,-0.132,-0.070,-0.133,-0.052,
1914,-999.000,-999.000,0.050,0.122,0.071,0.124,
1915,-999.000,-999.000,0.108,0.131,0.144,0.170,
1916,-999.000,-999.000,-0.121,-0.086,-0.090,-0.059,
1917,-999.000,-999.000,-0.270,-0.187,-0.216,-0.132,
1918,-999.000,-999.000,-0.097,-0.022,-0.099,-0.040,
1919,-999.000,-999.000,-0.047,-0.005,-0.002,0.013,
1920,-999.000,-999.000,0.019,0.001,0.035,0.033,
1921,-999.000,-999.000,0.070,0.086,0.103,0.103,
1922,-999.000,-999.000,-0.019,-0.008,-0.001,0.019,
1923,-999.000,-999.000,0.017,0.009,0.023,0.014,
1924,-999.000,-999.000,0.004,-0.001,0.034,0.021,
1925,-999.000,-999.000,0.051,0.052,0.065,0.086,
1926,-999.000,-999.000,0.183,0.164,0.222,0.188,
